file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19990418_1300_14.80.fits,14.80,"(1024, 10000)",PV10K,195.001910956,32.9856653672,159.966543979,16.4243248011,2451286.76131,24576.0,-33.15
19990418_1530_14.80.fits,14.80,"(1024, 10000)",PV10K,232.49773379,32.9889158804,159.922079262,16.4243248011,2451286.86518,24576.0,-33.15
19990418_1700_14.80.fits,14.80,"(1024, 10000)",PV10K,254.997502973,32.991216245,159.967802397,16.4243248011,2451286.92751,24576.0,-33.15
19990418_1630_14.80.fits,14.80,"(1024, 10000)",PV10K,247.497567578,32.9904499268,159.967592673,16.4243248011,2451286.90674,24576.0,-33.15
19990418_1620_14.80.fits,14.80,"(1024, 10000)",PV10K,245.001798957,32.9901931887,159.96822187,16.4243248011,2451286.89982,24576.0,-33.15
19990418_1350_14.80.fits,14.80,"(1024, 10000)",PV10K,207.501856631,32.9865975105,159.912431287,16.4243248011,2451286.79594,24576.0,-33.15
19990418_1310_14.80.fits,14.80,"(1024, 10000)",PV10K,197.501886495,32.9858360359,159.967382924,16.4243248011,2451286.76824,24576.0,-33.15
19990418_1450_14.80.fits,14.80,"(1024, 10000)",PV10K,222.498793724,32.9879342244,160.035338368,16.4243248011,2451286.83749,24576.0,-33.15
19990418_1650_14.80.fits,14.80,"(1024, 10000)",PV10K,252.50168941,32.9909625832,159.967802397,16.4243248011,2451286.9206,24576.0,-33.15
19990418_1720_14.80.fits,14.80,"(1024, 10000)",PV10K,260.00169975,32.9917183659,159.967592648,16.4243248011,2451286.94137,24576.0,-33.15
19990418_1520_14.80.fits,14.80,"(1024, 10000)",PV10K,230.000777816,32.9886660001,159.818258431,16.4243248011,2451286.85827,24576.0,-33.15
19990418_1640_14.80.fits,14.80,"(1024, 10000)",PV10K,250.001715008,32.9907069844,159.967802397,16.4243248011,2451286.91367,24576.0,-33.15
19970410_1150_14.72.fits,14.72,"(2048, 15000)",Loral1,177.499021919,33.0022748392,148.372883159,20.3150304214,2450548.7353,30720.0,-33.15
19970410_1710_14.72.fits,14.72,"(2048, 15000)",Loral1,257.503178419,33.0176896555,148.374980503,20.3150304214,2450548.95695,30720.0,-33.15
19970409_1350_14.72.fits,14.72,"(2048, 15000)",Loral1,207.499040637,33.0052119941,148.372883159,20.3159887228,2450547.82115,30720.0,-33.15
19970414_1810_14.72.fits,14.72,"(2048, 15000)",Loral1,272.498966129,33.0210139645,148.372883159,20.3159887228,2450552.98757,30720.0,-33.15
19970410_1300_14.72.fits,14.72,"(2048, 15000)",Loral1,195.003308427,33.0036192848,148.374980503,20.3150304214,2450548.7838,30720.0,-33.15
19970408_0840_14.72.fits,14.72,"(2048, 15000)",Loral1,129.999068071,33.008387404,148.3730929,20.3150304214,2450546.60915,30720.0,-33.15
19970408_1150_14.72.fits,14.72,"(2048, 15000)",Loral1,177.499104188,33.0045873136,148.372883159,20.3150304214,2450546.74076,30720.0,-33.15
19970414_0920_14.72.fits,14.72,"(2048, 15000)",Loral1,139.999024409,33.0035157409,148.372883159,20.3159887228,2450552.62047,30720.0,-33.15
19970408_0930_14.72.fits,14.72,"(2048, 15000)",Loral1,142.498975929,33.0063817262,148.372883159,20.3150304214,2450546.64379,30720.0,-33.15
19970414_1540_14.72.fits,14.72,"(2048, 15000)",Loral1,235.003264496,33.0104550496,148.372883159,20.3159887228,2450552.8837,30720.0,-33.15
19970414_0940_14.72.fits,14.72,"(2048, 15000)",Loral1,144.999137401,33.0028270081,148.372883184,20.3159887228,2450552.63433,30720.0,-33.15
19970410_1340_14.72.fits,14.72,"(2048, 15000)",Loral1,204.999096492,33.0050225703,148.3730929,20.3150304214,2450548.8115,30720.0,-33.15
